index,obs_id,simbad_name,significance,ra,dec,category,classification,obs_time,url,ai_classification,ai_prob,comments,detnam,ep_name,exp_time,flux,id,image_url,index_in_det,light_curve_url,pos_err,r_dec,r_ra,r_sep,records,spectrum_url,src_name,tags,trigger,type,version,wxt_name
15,11900516354,WXTJ013031-275742,5.14,22.632,-27.962,Unverified,Unverified,2025-12-17 03:29:23,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/545097/1338413,source,0.8353680968284607,,CMOS40,,1840.0,1.06e-11,1751577,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/11900516354/CMOS40/v2?index_in_det=2,2,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/11900516354/CMOS40/2/v2,2.511,-27.962,22.632,0.00,https://ep.bao.ac.cn/ep/data_center/ta_records/1751577,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/11900516354/CMOS40/2/v2,ep11900516354wxt40s2,['known_source'],telemetry,source,v2,
16,06800001066,WXT J110952+150339,5.13,167.468,15.061,Unverified,Unverified,2025-12-17 18:27:26,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/546174/1341397,source,0.9648458361625672,,CMOS39,,2997.0,9.95e-12,1754220,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/06800001066/CMOS39/v3?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/06800001066/CMOS39/1/v3,3.116,15.061,167.468,0.00,https://ep.bao.ac.cn/ep/data_center/ta_records/1754220,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/06800001066/CMOS39/1/v3,ep06800001066wxt39s1,['known_source'],telemetry,source,v3,
17,08500000474,WXT J080746-060305,5.12,121.943,-6.052,Unverified,Unverified,2025-12-17 23:06:43,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/546972/1342966,source,0.9066397547721864,,CMOS4,,2981.0,1.12e-11,1756128,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/08500000474/CMOS4/v2?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/08500000474/CMOS4/1/v2,3.047,,,,https://ep.bao.ac.cn/ep/data_center/ta_records/1756128,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/08500000474/CMOS4/1/v2,ep08500000474wxt4s1,['known_source'],telemetry,source,v2,
18,06800001065,WXT J101046+255955,5.12,152.692,25.999,Unverified,Unverified,2025-12-17 16:45:50,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/546079/1341159,source,0.9142332077026368,,CMOS41,,2986.0,6.00e-12,1753661,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/06800001065/CMOS41/v2?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/06800001065/CMOS41/1/v2,2.491,,,,https://ep.bao.ac.cn/ep/data_center/ta_records/1753661,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/06800001065/CMOS41/1/v2,ep06800001065wxt41s1,['known_source'],telemetry,source,v2,
19,01709250182,WXT J064859-252323,5.12,102.246,-25.390,Unverified,Unverified,2025-12-17 20:37:55,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/546578/1341484,source,0.8950285911560059,,CMOS24,,3377.0,1.10e-11,1754360,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/01709250182/CMOS24/v2?index_in_det=3,3,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/01709250182/CMOS24/3/v2,3.118,-25.397,102.231,55.46,https://ep.bao.ac.cn/ep/data_center/ta_records/1754360,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/01709250182/CMOS24/3/v2,ep01709250182wxt24s3,['known_source'],telemetry,source,v2,
20,11916652834,WXTJ130328+314442,5.11,195.867,31.745,Unverified,Unverified,2025-12-17 02:49:32,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/545095/1337989,source,0.899361789226532,,CMOS38,,2010.0,8.15e-12,1751273,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/11916652834/CMOS38/v1?index_in_det=2,2,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/11916652834/CMOS38/2/v1,2.292,,,,https://ep.bao.ac.cn/ep/data_center/ta_records/1751273,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/11916652834/CMOS38/2/v1,ep11916652834wxt38s2,['known_source'],telemetry,source,v1,
21,11900516354,WXTJ011330+194405,5.09,18.376,19.735,Unverified,Unverified,2025-12-17 03:32:03,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/545090/1338354,source,0.8486505150794983,,CMOS22,,1680.0,1.32e-11,1751553,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/11900516354/CMOS22/v2?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/11900516354/CMOS22/1/v2,2.523,19.735,18.376,0.00,https://ep.bao.ac.cn/ep/data_center/ta_records/1751553,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/11900516354/CMOS22/1/v2,ep11900516354wxt22s1,['known_source'],telemetry,source,v2,
22,06800001064,WXT J100012-051714,5.08,150.051,-5.287,Unverified,Unverified,2025-12-17 15:12:48,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/546069/1341090,source,0.9704943895339966,,CMOS20,,3031.0,1.21e-11,1753621,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/06800001064/CMOS20/v2?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/06800001064/CMOS20/1/v2,3.507,,,,https://ep.bao.ac.cn/ep/data_center/ta_records/1753621,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/06800001064/CMOS20/1/v2,ep06800001064wxt20s1,['known_source'],telemetry,source,v2,
23,11916652841,WXT J001355+113406,5.07,3.480,11.568,Unverified,Unverified,2025-12-17 09:50:17,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/545780/1340490,source,0.775394082069397,,CMOS14,,1742.0,6.60e-12,1753168,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/11916652841/CMOS14/v2?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/11916652841/CMOS14/1/v2,2.359,,,,https://ep.bao.ac.cn/ep/data_center/ta_records/1753168,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/11916652841/CMOS14/1/v2,ep11916652841wxt14s1,['known_source'],telemetry,source,v2,
24,08500000475,WXT J110939-045804,5.07,167.414,-4.968,Unverified,Unverified,2025-12-18 00:52:43,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/546823/1342194,source,0.8820912837982178,,CMOS15,,2526.0,1.03e-11,1755328,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/08500000475/CMOS15/v1?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/08500000475/CMOS15/1/v1,2.988,,,,https://ep.bao.ac.cn/ep/data_center/ta_records/1755328,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/08500000475/CMOS15/1/v1,ep08500000475wxt15s1,['known_source'],telemetry,source,v1,
25,06800001067,WXT J075222+222629,5.06,118.092,22.441,Unverified,Unverified,2025-12-17 19:49:16,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/546332/1341281,source,0.8016232848167419,,CMOS34,,2688.0,1.02e-11,1753988,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/06800001067/CMOS34/v1?index_in_det=2,2,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/06800001067/CMOS34/2/v1,3.074,,,,https://ep.bao.ac.cn/ep/data_center/ta_records/1753988,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/06800001067/CMOS34/2/v1,ep06800001067wxt34s2,['known_source'],telemetry,source,v1,
26,06800001065,WXT J083929+310956,5.04,129.872,31.165,Unverified,Unverified,2025-12-17 16:40:38,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/546078/1341150,source,0.8663974404335022,,CMOS32,,2974.0,7.86e-12,1753657,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/06800001065/CMOS32/v2?index_in_det=2,2,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/06800001065/CMOS32/2/v2,2.965,,,,https://ep.bao.ac.cn/ep/data_center/ta_records/1753657,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/06800001065/CMOS32/2/v2,ep06800001065wxt32s2,['known_source'],telemetry,source,v2,
27,06800001066,WXT J113514-004322,5.03,173.808,-0.723,Unverified,Unverified,2025-12-17 18:28:57,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/546173/1341396,source,0.834059476852417,,CMOS38,,3072.0,1.18e-11,1754219,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/06800001066/CMOS38/v3?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/06800001066/CMOS38/1/v3,3.331,-0.723,173.807,2.52,https://ep.bao.ac.cn/ep/data_center/ta_records/1754219,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/06800001066/CMOS38/1/v3,ep06800001066wxt38s1,['known_source'],telemetry,source,v3,
28,01709250182,WXT J055052-020711,5.02,87.714,-2.118,Unverified,Unverified,2025-12-17 21:20:24,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/546339/1341464,source,0.9812735319137572,,CMOS4,,3037.0,1.16e-11,1754349,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/01709250182/CMOS4/v2?index_in_det=3,3,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/01709250182/CMOS4/3/v2,2.883,-2.120,87.717,12.36,https://ep.bao.ac.cn/ep/data_center/ta_records/1754349,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/01709250182/CMOS4/3/v2,ep01709250182wxt4s3,['known_source'],telemetry,source,v2,
29,08500000475,WXT J102752-010619,5.01,156.966,-1.105,Unverified,Unverified,2025-12-18 00:51:08,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/546824/1342195,source,0.8704143762588501,,CMOS16,,2621.0,1.08e-11,1755329,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/08500000475/CMOS16/v1?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/08500000475/CMOS16/1/v1,2.883,,,,https://ep.bao.ac.cn/ep/data_center/ta_records/1755329,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/08500000475/CMOS16/1/v1,ep08500000475wxt16s1,['known_source'],telemetry,source,v1,
30,08500000474,WXT J111823+083833,5.01,169.595,8.642,Unverified,Unverified,2025-12-17 23:16:28,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/546974/1342975,source,0.9313400983810424,,CMOS13,,3075.0,1.18e-11,1756133,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/08500000474/CMOS13/v2?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/08500000474/CMOS13/1/v2,3.185,,,,https://ep.bao.ac.cn/ep/data_center/ta_records/1756133,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/08500000474/CMOS13/1/v2,ep08500000474wxt13s1,['known_source'],telemetry,source,v2,
