index,obs_id,simbad_name,significance,ra,dec,category,classification,obs_time,url,ai_classification,ai_prob,comments,detnam,ep_name,exp_time,flux,id,image_url,index_in_det,light_curve_url,pos_err,r_dec,r_ra,r_sep,records,spectrum_url,src_name,tags,trigger,type,version,wxt_name
1,13600508674,1RXS J052540.6+425139,6.13,81.452,42.874,Unclassified,Unclassified,2025-12-10 08:45:34,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/266085/1320798,source,0.9987862706184388,,CMOS12,,2036.0,2.50e-11,1732967,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/13600508674/CMOS12/v2?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/13600508674/CMOS12/1/v2,3.017,42.861,81.419,99.84,https://ep.bao.ac.cn/ep/data_center/ta_records/1732967,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/13600508674/CMOS12/1/v2,ep13600508674wxt12s1,['known_source'],telemetry,source,v2,
2,08500000461,WXT J032715-113541,5.88,51.813,-11.595,Unverified,Unverified,2025-12-10 11:48:08,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/535983/1320958,source,0.9698909521102904,,CMOS47,,6173.0,6.59e-12,1733439,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/08500000461/CMOS47/v3?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/08500000461/CMOS47/1/v3,2.965,-11.584,51.859,165.16,https://ep.bao.ac.cn/ep/data_center/ta_records/1733439,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/08500000461/CMOS47/1/v3,ep08500000461wxt47s1,['known_source'],telemetry,source,v3,
3,13600508674,WXT J044129+431235,5.49,70.369,43.210,Unverified,Unverified,2025-12-10 08:45:34,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/535771/1320795,source,0.7750921249389648,,CMOS9,,2036.0,9.78e-12,1732965,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/13600508674/CMOS9/v2?index_in_det=2,2,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/13600508674/CMOS9/2/v2,2.861,,,,https://ep.bao.ac.cn/ep/data_center/ta_records/1732965,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/13600508674/CMOS9/2/v2,ep13600508674wxt9s2,['known_source'],telemetry,source,v2,
4,13600508039,WXT J044439+412021,5.43,71.162,41.339,Unverified,Unverified,2025-12-10 05:40:42,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/535161/1319958,source,0.6716440916061401,,CMOS33,,1285.0,1.30e-11,1731937,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/13600508039/CMOS33/v1?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/13600508039/CMOS33/1/v1,2.601,,,,https://ep.bao.ac.cn/ep/data_center/ta_records/1731937,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/13600508039/CMOS33/1/v1,ep13600508039wxt33s1,['known_source'],telemetry,source,v1,
5,11916652718,WXT J102220-245642,5.41,155.584,-24.945,Unverified,Unverified,2025-12-10 23:45:23,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/536260/1321812,source,0.997988224029541,,CMOS39,,2053.0,1.98e-11,1734238,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/11916652718/CMOS39/v1?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/11916652718/CMOS39/1/v1,2.919,,,,https://ep.bao.ac.cn/ep/data_center/ta_records/1734238,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/11916652718/CMOS39/1/v1,ep11916652718wxt39s1,['known_source'],telemetry,source,v1,
6,11900509185,WXT J125222+315720,5.39,193.090,31.955,Unverified,Unverified,2025-12-10 20:16:12,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/536243/1322154,source,0.9923227429389954,,CMOS15,,3111.0,1.44e-11,1734537,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/11900509185/CMOS15/v2?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/11900509185/CMOS15/1/v2,2.898,31.955,193.090,0.00,https://ep.bao.ac.cn/ep/data_center/ta_records/1734537,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/11900509185/CMOS15/1/v2,ep11900509185wxt15s1,['known_source'],telemetry,source,v2,
7,11916652718,WXT J082207-260257,5.34,125.528,-26.049,Unverified,Unverified,2025-12-10 23:45:23,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/536250/1321738,source,0.9988768696784972,,CMOS17,,1640.0,2.18e-11,1734210,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/11916652718/CMOS17/v1?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/11916652718/CMOS17/1/v1,2.634,,,,https://ep.bao.ac.cn/ep/data_center/ta_records/1734210,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/11916652718/CMOS17/1/v1,ep11916652718wxt17s1,['known_source'],telemetry,source,v1,
8,11916652718,WXT J062517-365204,5.33,96.322,-36.868,Unverified,Unverified,2025-12-10 23:45:23,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/536245/1321675,source,0.994817554950714,,CMOS1,,1061.0,3.94e-11,1734193,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/11916652718/CMOS1/v1?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/11916652718/CMOS1/1/v1,3.045,,,,https://ep.bao.ac.cn/ep/data_center/ta_records/1734193,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/11916652718/CMOS1/1/v1,ep11916652718wxt1s1,['known_source'],telemetry,source,v1,
9,13600508673,WXT J014808+165750,5.31,27.039,16.957,Unverified,Unverified,2025-12-10 07:19:42,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/270400/1320340,source,0.9115203619003296,,CMOS28,,1356.0,1.77e-11,1732243,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/13600508673/CMOS28/v1?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/13600508673/CMOS28/1/v1,2.785,16.964,27.035,27.87,https://ep.bao.ac.cn/ep/data_center/ta_records/1732243,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/13600508673/CMOS28/1/v1,ep13600508673wxt28s1,['known_source'],telemetry,source,v1,
10,06800001045,WXT J110427+184220,5.30,166.112,18.706,Unverified,Unverified,2025-12-10 21:52:07,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/536394/1322107,source,0.9999159574508668,,CMOS16,,3015.0,1.07e-11,1734516,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/06800001045/CMOS16/v2?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/06800001045/CMOS16/1/v2,2.602,,,,https://ep.bao.ac.cn/ep/data_center/ta_records/1734516,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/06800001045/CMOS16/1/v2,ep06800001045wxt16s1,['known_source'],telemetry,source,v2,
11,13600508039,WXT J183628+723616,5.28,279.118,72.605,Unverified,Unverified,2025-12-10 05:40:42,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/535165/1319963,source,0.8316671848297119,,CMOS38,,1285.0,1.41e-11,1731943,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/13600508039/CMOS38/v1?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/13600508039/CMOS38/1/v1,2.503,,,,https://ep.bao.ac.cn/ep/data_center/ta_records/1731943,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/13600508039/CMOS38/1/v1,ep13600508039wxt38s1,['known_source'],telemetry,source,v1,
12,11916652718,WXT J104420+030815,5.25,161.082,3.138,Unverified,Unverified,2025-12-10 23:45:23,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/536261/1321827,source,0.9868018627166748,,CMOS47,,1920.0,1.57e-11,1734243,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/11916652718/CMOS47/v1?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/11916652718/CMOS47/1/v1,3.076,,,,https://ep.bao.ac.cn/ep/data_center/ta_records/1734243,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/11916652718/CMOS47/1/v1,ep11916652718wxt47s1,['known_source'],telemetry,source,v1,
13,11916652711,WXT J215616+474126,5.20,329.069,47.690,Unverified,Unverified,2025-12-10 02:03:37,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/534891/1320182,source,0.9478992819786072,,CMOS14,,1736.0,1.04e-11,1732127,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/11916652711/CMOS14/v2?index_in_det=2,2,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/11916652711/CMOS14/2/v2,2.486,47.690,329.069,0.00,https://ep.bao.ac.cn/ep/data_center/ta_records/1732127,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/11916652711/CMOS14/2/v2,ep11916652711wxt14s2,['known_source'],telemetry,source,v2,
14,11900507786,WXT J070121-070149,5.19,105.337,-7.030,Unverified,Unverified,2025-12-10 06:06:43,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/535139/1319810,source,0.7629061937332153,,CMOS44,,1357.0,8.51e-12,1731888,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/11900507786/CMOS44/v1?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/11900507786/CMOS44/1/v1,2.376,,,,https://ep.bao.ac.cn/ep/data_center/ta_records/1731888,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/11900507786/CMOS44/1/v1,ep11900507786wxt44s1,['known_source'],telemetry,source,v1,
15,11916652711,WXT J210837+383842,5.13,317.153,38.645,Unverified,Unverified,2025-12-10 02:02:18,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/534890/1320181,source,0.9456255435943604,,CMOS13,,1815.0,1.44e-11,1732125,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/11916652711/CMOS13/v2?index_in_det=3,3,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/11916652711/CMOS13/3/v2,2.861,38.645,317.153,0.00,https://ep.bao.ac.cn/ep/data_center/ta_records/1732125,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/11916652711/CMOS13/3/v2,ep11916652711wxt13s3,['known_source'],telemetry,source,v2,
16,08500000461,WXT J023438+095911,5.11,38.658,9.986,Unverified,Unverified,2025-12-10 11:47:17,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/535971/1320950,source,0.9730615615844728,,CMOS39,,6067.0,3.86e-12,1733412,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/08500000461/CMOS39/v3?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/08500000461/CMOS39/1/v3,2.632,,,,https://ep.bao.ac.cn/ep/data_center/ta_records/1733412,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/08500000461/CMOS39/1/v3,ep08500000461wxt39s1,['known_source'],telemetry,source,v3,
17,11900509185,WXT J125338+492336,5.09,193.408,49.393,Unverified,Unverified,2025-12-10 20:14:51,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/536242/1322152,source,0.9997135996818542,,CMOS13,,3151.0,1.34e-11,1734536,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/11900509185/CMOS13/v2?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/11900509185/CMOS13/1/v2,3.255,49.393,193.408,0.00,https://ep.bao.ac.cn/ep/data_center/ta_records/1734536,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/11900509185/CMOS13/1/v2,ep11900509185wxt13s1,['known_source'],telemetry,source,v2,
18,11900507785,WXT J072505-001939,5.08,111.269,-0.328,Unverified,Unverified,2025-12-10 04:26:54,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/535188/1320063,source,0.9095380902290344,,CMOS43,,1701.0,1.05e-11,1732017,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/11900507785/CMOS43/v1?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/11900507785/CMOS43/1/v1,2.973,,,,https://ep.bao.ac.cn/ep/data_center/ta_records/1732017,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/11900507785/CMOS43/1/v1,ep11900507785wxt43s1,['known_source'],telemetry,source,v1,
19,13600508674,WXT J034543+262243,5.07,56.430,26.379,Unverified,Unverified,2025-12-10 08:45:34,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/535774/1320821,source,0.965551733970642,,CMOS35,,2036.0,1.15e-11,1732985,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/13600508674/CMOS35/v2?index_in_det=2,2,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/13600508674/CMOS35/2/v2,2.738,,,,https://ep.bao.ac.cn/ep/data_center/ta_records/1732985,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/13600508674/CMOS35/2/v2,ep13600508674wxt35s2,['known_source'],telemetry,source,v2,
