index,obs_id,simbad_name,significance,ra,dec,category,classification,obs_time,url,ai_classification,ai_prob,comments,detnam,ep_name,exp_time,flux,id,image_url,index_in_det,light_curve_url,pos_err,r_dec,r_ra,r_sep,records,spectrum_url,src_name,tags,trigger,type,version,wxt_name
1,08500000460,WXT J043331-131959,7.07,68.384,-13.323,Unverified,Unverified,2025-12-09 07:08:31,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/504100/1319215,source,1.0,,CMOS37,,3101.0,2.66e-11,1730914,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/08500000460/CMOS37/v2?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/08500000460/CMOS37/1/v2,2.804,-13.333,68.378,41.45,https://ep.bao.ac.cn/ep/data_center/ta_records/1730914,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/08500000460/CMOS37/1/v2,ep08500000460wxt37s1,['known_source'],telemetry,source,v2,
2,06800001042,WXT J032544-164349,6.05,51.411,-16.755,Unverified,Unverified,2025-12-09 08:39:29,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/528968/1319394,source,0.9937031865119934,,CMOS26,,3084.0,1.50e-11,1730976,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/06800001042/CMOS26/v1?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/06800001042/CMOS26/1/v1,3.015,-16.730,51.435,119.91,https://ep.bao.ac.cn/ep/data_center/ta_records/1730976,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/06800001042/CMOS26/1/v1,ep06800001042wxt26s1,['known_source'],telemetry,source,v1,
3,11916652702,WXT J233728+373804,5.92,354.365,37.634,Unverified,Unverified,2025-12-09 00:33:02,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/532906/1317344,source,0.900901734828949,,CMOS22,,1349.0,1.75e-11,1728645,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/11916652702/CMOS22/v2?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/11916652702/CMOS22/1/v2,2.953,37.634,354.365,0.00,https://ep.bao.ac.cn/ep/data_center/ta_records/1728645,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/11916652702/CMOS22/1/v2,ep11916652702wxt22s1,['known_source'],telemetry,source,v2,
4,06800001042,WXT J010506+170820,5.79,16.274,17.139,Unverified,Unverified,2025-12-09 08:34:00,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/534554/1319384,source,0.9799641966819764,,CMOS16,,2983.0,1.54e-11,1730969,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/06800001042/CMOS16/v3?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/06800001042/CMOS16/1/v3,3.031,,,,https://ep.bao.ac.cn/ep/data_center/ta_records/1730969,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/06800001042/CMOS16/1/v3,ep06800001042wxt16s1,['known_source'],telemetry,source,v3,
5,08500000460,WXT J062127+061245,5.56,95.363,6.213,Unverified,Unverified,2025-12-09 07:13:28,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/533463/1319224,source,0.984570562839508,,CMOS46,,3021.0,1.46e-11,1730919,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/08500000460/CMOS46/v2?index_in_det=2,2,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/08500000460/CMOS46/2/v2,3.216,6.213,95.363,0.00,https://ep.bao.ac.cn/ep/data_center/ta_records/1730919,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/08500000460/CMOS46/2/v2,ep08500000460wxt46s2,['known_source'],telemetry,source,v2,
6,06800001043,WXT J041957-122357,5.40,64.989,-12.399,Unverified,Unverified,2025-12-09 12:03:43,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/534035/1317838,source,0.9594846367836,,CMOS22,,2464.0,1.14e-11,1729580,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/06800001043/CMOS22/v2?index_in_det=3,3,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/06800001043/CMOS22/3/v2,2.929,,,,https://ep.bao.ac.cn/ep/data_center/ta_records/1729580,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/06800001043/CMOS22/3/v2,ep06800001043wxt22s3,['known_source'],telemetry,source,v2,
7,11900507137,WXT J074445+452046,5.34,116.189,45.346,Unverified,Unverified,2025-12-09 02:36:18,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/533266/1317266,source,0.6025498509407043,,CMOS17,,2680.0,7.95e-12,1728593,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/11900507137/CMOS17/v2?index_in_det=3,3,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/11900507137/CMOS17/3/v2,2.704,45.346,116.189,0.00,https://ep.bao.ac.cn/ep/data_center/ta_records/1728593,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/11900507137/CMOS17/3/v2,ep11900507137wxt17s3,['known_source'],telemetry,source,v2,
8,00109249391,WXT J012848-280158,5.30,22.198,-28.033,Unverified,Unverified,2025-12-09 05:18:20,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/533351/1317538,source,0.7219787836074829,,CMOS39,,2879.0,5.79e-12,1728817,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/00109249391/CMOS39/v2?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/00109249391/CMOS39/1/v2,2.295,-28.033,22.198,0.04,https://ep.bao.ac.cn/ep/data_center/ta_records/1728817,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/00109249391/CMOS39/1/v2,ep00109249391wxt39s1,['known_source'],telemetry,source,v2,
9,11916652702,WXT J225434-014858,5.18,343.643,-1.816,Unverified,Unverified,2025-12-09 00:26:07,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/532904/1317318,source,0.7522287964820862,,CMOS13,,1764.0,1.42e-11,1728630,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/11916652702/CMOS13/v2?index_in_det=2,2,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/11916652702/CMOS13/2/v2,2.971,-1.816,343.643,0.00,https://ep.bao.ac.cn/ep/data_center/ta_records/1728630,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/11916652702/CMOS13/2/v2,ep11916652702wxt13s2,['known_source'],telemetry,source,v2,
10,06800001043,WXT J064802-064446,5.17,102.007,-6.746,Unverified,Unverified,2025-12-09 12:03:43,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/533992/1317826,source,0.8045662641525269,,CMOS14,,2909.0,5.65e-12,1729512,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/06800001043/CMOS14/v2?index_in_det=2,2,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/06800001043/CMOS14/2/v2,2.561,,,,https://ep.bao.ac.cn/ep/data_center/ta_records/1729512,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/06800001043/CMOS14/2/v2,ep06800001043wxt14s2,['known_source'],telemetry,source,v2,
